,Name,Address,Business ID,Rating,Review Count,Coordinates,Price
0,The Corner Pub,"['162 Lincoln St', 'Boston, MA 02111']",tCPxYdZVbsDooH3DQsNLqQ,4.5,134,"{'latitude': 42.35076, 'longitude': -71.05837}",1
1,Bleacher Bar,"['82 Lansdowne St', 'Fenway Park', 'Boston, MA 02228']",47IRTOlC4kjAf1aFKLZDdA,4.0,483,"{'latitude': 42.3469855442944, 'longitude': -71.096686816461}",2
2,21st Amendment,"['150 Bowdoin Sq', 'Boston, MA 02108']",ZrSNKHiKK_PBB6UHx22FaA,4.0,401,"{'latitude': 42.358355, 'longitude': -71.062686}",2
3,Boston Brew Tours by City Brew Tours,"['2 Park Plz', 'Boston, MA 02116']",UMtKPjI5xsR5Db0pCyECFA,4.5,169,"{'latitude': 42.3522696, 'longitude': -71.0670277}",2
4,Bostonia Public House,"['131 State St', 'Boston, MA 02109']",xZ22_0eJOgaiKqIhoSHrPw,4.0,1455,"{'latitude': 42.359213, 'longitude': -71.054296}",2
5,The Gallows,"['1395 Washington St', 'Boston, MA 02118']",5HMXgD_gui5n0Tc_hadesg,4.0,857,"{'latitude': 42.341371, 'longitude': -71.070237}",2
6,Drink,"['348 Congress St', 'Boston, MA 02228']",rcn3L8ZeQebdG0K1RSRKXQ,4.0,1574,"{'latitude': 42.35067, 'longitude': -71.04846}",3
7,Croke Park Whitey's,"['268 W Broadway', 'Boston, MA 02127']",OSgeFci6OzwuLzWw5JTX7g,4.5,91,"{'latitude': 42.33934, 'longitude': -71.0512}",1
8,Saltie Girl,"['281 Dartmouth St', 'Boston, MA 02116']",sA2gVTJOBH7Qk32p48ENdQ,4.5,1171,"{'latitude': 42.3511377, 'longitude': -71.0776626}",3
9,Harpoon Brewery,"['306 Northern Ave', 'Boston, MA 02210']",FYDP6p5G9ZcI4UW7inh88A,4.5,1520,"{'latitude': 42.3470249808051, 'longitude': -71.0348596407489}",1
10,Mr. Dooley's,"['77 Broad St', 'Boston, MA 02109']",2v0-gBcXethuNFT6rMGiRw,4.0,435,"{'latitude': 42.35766436405488, 'longitude': -71.0536407}",2
11,City Tap House,"['10 Boston Wharf Rd', 'Boston, MA 02210']",u21_m6mewRV6pTMn9DCosA,4.0,494,"{'latitude': 42.3499185, 'longitude': -71.0470911}",2
12,Corner Tavern,"['421 Marlborough St', 'Boston, MA 02115']",kOqVXdqRzWIEK7XiQWxmJQ,4.0,259,"{'latitude': 42.35016, 'longitude': -71.0894299}",2
13,Neptune Oyster,"['63 Salem St', 'Boston, MA 02113']",y2w6rFaO0XEiG5mFfOsiFA,4.5,5165,"{'latitude': 42.36321, 'longitude': -71.05594}",3
14,The Haven,"['2 Perkins St', 'Jamaica Plain, MA 02130']",h1ESQaA5FvWju1Ru-2xPXQ,4.5,529,"{'latitude': 42.32168, 'longitude': -71.11038}",2
15,Champions,"['110 Huntington Avenue', 'Boston, MA 02116']",PLuitJs0KkdjVE8wVlTZ_A,3.0,262,"{'latitude': 42.3468789540231, 'longitude': -71.079801833755}",2
16,The Tam,"['222 Tremont St', 'Boston, MA 02118']",V_79WoMIjev8LFMueFJudw,3.5,354,"{'latitude': 42.3515171507333, 'longitude': -71.0646311837185}",1
17,Beacon Hill Pub,"['149 Charles St', 'Boston, MA 02108']",fKRNzZM4XWlPiCPdjMUYNg,3.5,201,"{'latitude': 42.4234042, 'longitude': -71.0733572}",1
18,Cheers,"['84 Beacon St', 'Boston, MA 02108']",JwJa6nY_wlZEjagVleWQ-Q,3.5,970,"{'latitude': 42.355936044299, 'longitude': -71.0711767808}",2
19,Lolita Cocina & Tequila Bar Back Bay,"['271 Dartmouth St', 'Boston, MA 02116']",u51e3gychuqBYNqe2xG6_w,4.0,2176,"{'latitude': 42.3505860446405, 'longitude': -71.077508474716}",2
20,State Park,"['1 Kendall Sq', 'Bldg 300, Lower Level', 'Cambridge, MA 02139']",PYDzfxSLUCCwQysbOkFSVA,4.0,283,"{'latitude': 42.366157, 'longitude': -71.090785}",2
21,The Avenue,"['1249 Commonwealth Ave', 'Boston, MA 02134']",RJfovzPhmdt-pYHnFboM8w,4.0,377,"{'latitude': 42.35017, 'longitude': -71.132128}",1
22,Bukowski Tavern,"['50 Dalton St', 'Boston, MA 02115']",7bq2nCYCPuvI5o2GCFRAeg,3.5,696,"{'latitude': 42.34726832024, 'longitude': -71.085402407346}",2
23,Biddy Early's,"['141 Pearl St', 'Boston, MA 02110']",GW-qF7xopcwSeQah6Yvtnw,4.5,261,"{'latitude': 42.35465, 'longitude': -71.05374}",1
24,City Bar,"['65 Exeter St', 'Boston, MA 02116']",Svxkliw-2cfHifMK8EvkIQ,4.0,268,"{'latitude': 42.348849, 'longitude': -71.0793773}",3
25,The Salty Pig,"['130 Dartmouth St', 'Boston, MA 02116']",t_FFcwUutj9mIYKGw_gHsQ,4.0,1683,"{'latitude': 42.3469, 'longitude': -71.076121}",2
26,Top Mix Bar & Kitchen,"['257 Norfolk Ave', 'Boston, MA 02119']",l6Ye6vPB6ZPZbxVxMMgvPQ,4.0,93,"{'latitude': 42.32374, 'longitude': -71.06808}",2
27,JJ Foleys Cafe,"['117 E Berkeley St', 'Boston, MA 02118']",W62OJx5O8xwno-Dn3EuqJw,4.0,214,"{'latitude': 42.3436886733629, 'longitude': -71.0653314573811}",2
28,Meadhall,"['4 Cambridge Ctr', 'Cambridge, MA 02142']",KPFscTq_-jGPla0cNQRUcg,3.5,743,"{'latitude': 42.36372114739928, 'longitude': -71.08735434309745}",2
29,Atwood's Tavern,"['877 Cambridge St', 'Cambridge, MA 02141']",HkBMQKpmmdCZgxjKLq3HcQ,4.0,386,"{'latitude': 42.37275, 'longitude': -71.09145}",2
30,Row 34,"['383 Congress St', 'Boston, MA 02210']",yBIN7uSzd5saehWA1I_GBw,4.0,1486,"{'latitude': 42.3495808510305, 'longitude': -71.0475044128162}",3
31,Five Horses Tavern,"['535 Columbus Ave', 'Boston, MA 02118']",QFEEm3joTWU5ZF4suCuRPQ,4.0,457,"{'latitude': 42.3417445441842, 'longitude': -71.0805253552637}",2
32,Banners Kitchen & Tap,"['82 Causeway St', 'The Hub On Causeway', 'Boston, MA 02114']",3edYNqlyo-x9ygEuw-SmOw,3.5,89,"{'latitude': 42.36556, 'longitude': -71.061494}",2
33,Joe's On Newbury,"['181 Newbury St', 'Boston, MA 02116']",smiGOZuyboXfc8LyC2jXpg,3.5,994,"{'latitude': 42.350469, 'longitude': -71.079786}",2
34,Lincoln Tavern and Restaurant,"['425 W Broadway', 'Boston, MA 02127']",rdpY_LeMnDnfeK47eDnDOw,4.0,883,"{'latitude': 42.336323, 'longitude': -71.0476}",2
