0,The Three Monkeys,"['236 W 54th St', 'New York, NY 10019']",IBgjj5VBu5JJvKgo9EzKrg,4.0,1194,"{'latitude': 40.764164, 'longitude': -73.98306}",$$
1,Luckydog,"['303 Bedford Ave', 'Brooklyn, NY 11211']",3Uzy1yp1SXq3FG-i2hEcyA,4.0,299,"{'latitude': 40.71348, 'longitude': -73.96166}",$
2,Above Rooftop,"['1100 S Ave', 'Staten Island, NY 10314']",SG0oXcpWb5te6iB9n_A1eg,3.0,50,"{'latitude': 40.6145264, 'longitude': -74.1771739}",
3,The White Elephant,"['1065 Manhattan Ave', 'Brooklyn, NY 11222']",w_MivZdsc1qGowQgj-eAaA,5.0,3,"{'latitude': 40.7350196838379, 'longitude': -73.9553680419922}",
4,Pint,"['34 Wayne St', 'Jersey City, NJ 07302']",SDgXhdIDqhOo2E3t8e15Eg,4.0,148,"{'latitude': 40.7190548557359, 'longitude': -74.0437984643788}",$
5,e's BAR,"['511 Amsterdam Ave', 'New York, NY 10024']",GXh9YpX4v8Wemrq-SPDPhA,4.0,356,"{'latitude': 40.786692073145, 'longitude': -73.9755653589964}",$$
6,The Levee,"['212 Berry St', 'Brooklyn, NY 11211']",XpYm_l-zKI3Rl4E8WODIDA,4.0,395,"{'latitude': 40.7163303847776, 'longitude': -73.9617204666138}",$
7,Zombie Hut,"['273 Smith St', 'Brooklyn, NY 11231']",rRPuX18uiYLEUGdJ9xQBEQ,4.0,510,"{'latitude': 40.6825715, 'longitude': -73.993164}",$
8,Whiskey Tavern,"['79 Baxter St', 'New York, NY 10013']",c3Ww3pgeHjBi3ctkeUWrjQ,4.5,781,"{'latitude': 40.71646, 'longitude': -73.99969}",$$
9,Mulberry Street Bar,"['176 Mulberry St', 'New York, NY 10013']",1q_njVUL27NVIhU0roB1BA,3.5,157,"{'latitude': 40.72008, 'longitude': -73.9968899}",$$
10,Leitao,"['547 Hudson St', 'New York, NY 10014']",5NdHeWLgrXhIySx9ogCNQg,4.0,239,"{'latitude': 40.73493, 'longitude': -74.00641}",$$
11,Bemelmans Bar,"['35 E 76th St', 'Carlyle Hotel', 'New York, NY 10021']",rVwQcrogYw-O2SsAk51iYA,4.0,301,"{'latitude': 40.7743790493761, 'longitude': -73.9633083343506}",$$$
12,The Dead Rabbit,"['30 Water St', 'New York, NY 10004']",RemvTpxalDjSew5HwmNzUQ,4.0,1580,"{'latitude': 40.70329, 'longitude': -74.01102}",$$
13,Toad Hall,"['57 Grand St', 'New York, NY 10013']",vdrHSnRc1X2pJiLJuiOfGA,4.0,104,"{'latitude': 40.722114, 'longitude': -74.003608}",$$
14,Standings,"['43 E 7th St', 'New York, NY 10003']",VCoSWqRuQVvyKS32sZqgRw,4.0,147,"{'latitude': 40.72832, 'longitude': -73.98855}",$$
15,4th Avenue Pub,"['76 4th Ave', 'Brooklyn, NY 11217']",1pMep2AS_MPdobWwDzgkPw,4.5,307,"{'latitude': 40.682325, 'longitude': -73.980126}",$$
16,The Grayson,"['16 1st Ave', 'New York, NY 10009']",RAejT6MPqqpprhgiCDdyJA,3.5,232,"{'latitude': 40.72338, 'longitude': -73.98797}",$$
17,The Commissioner,"['247 5th Ave', 'Brooklyn, NY 11215']",xHgMfdyLA5SPQz4c3ItTgg,5.0,141,"{'latitude': 40.67487, 'longitude': -73.98137}",$
18,Barrio Chino,"['253 Broome St', 'New York, NY 10002']",RzKR9QcYP03EQ_8DxTxowg,4.0,1118,"{'latitude': 40.718022, 'longitude': -73.990026}",$$
19,Harlem Public,"['3612 Broadway', 'New York, NY 10031']",zWem2SAbFc7lIYR2y9DE0g,4.0,1007,"{'latitude': 40.828717774457, 'longitude': -73.9484412254424}",$$
20,Duff's Brooklyn,"['168 Marcy Ave', 'Brooklyn, NY 11211']",MBkyCEjBbe-Ql63agwOUpw,4.5,164,"{'latitude': 40.70885, 'longitude': -73.95787}",$
21,4th Down Sports Bar,"['750 Grand St', 'Brooklyn, NY 11211']",WighGWv8nmo5N6f0FZETHw,4.5,48,"{'latitude': 40.7115402, 'longitude': -73.9432755}",$
22,Bar Bruno,"['520 Henry St', 'Brooklyn, NY 11231']",zupIzmhdcH0U6vJQQxDBiQ,4.0,278,"{'latitude': 40.6833674, 'longitude': -73.9997959}",$$
23,Tavern on Jane,"['31 8th Ave', 'New York, NY 10014']",38YuedP0ItlKbC-ncJ1XCQ,4.0,414,"{'latitude': 40.73822, 'longitude': -74.00426}",$$
24,Bar-Coastal NYC,"['1495 1st Ave', 'New York, NY 10075']",UjdqrYedKDokSPE2dDwFbA,4.0,297,"{'latitude': 40.77189, 'longitude': -73.95342}",$$
25,Jeremy's Ale House- South Street Seaport,"['228 Front St', 'New York, NY 10038']",rlZP-SWgNXH-2Ejp9dHEgw,4.0,297,"{'latitude': 40.70766, 'longitude': -74.00205}",$
26,The Emerson,"['561 Myrtle Ave', 'Brooklyn, NY 11205']",xGDGHg7G0Z6xvUo4xVXXVQ,4.0,78,"{'latitude': 40.69414, 'longitude': -73.961817}",$$
27,Park Bar,"['15 E 15th St', 'New York, NY 10003']",6qFNdq6JKj_dLUbVtLygow,3.5,175,"{'latitude': 40.736443, 'longitude': -73.9921}",$$
28,Greenpoint Beer & Ale Co.,"['1150 Manhattan Ave', 'Brooklyn, NY 11222']",E4wNBoe1PD0pCyF6qr-xbA,3.5,144,"{'latitude': 40.73768, 'longitude': -73.9552235}",$$
29,Dutch Kills,"['27-24 Jackson Ave', 'Long Island City, NY 11101']",3lLBRLbXAIgd1yZgWgnfeg,4.0,778,"{'latitude': 40.747615, 'longitude': -73.940159}",$$
